model,dataset,rel_depth,halluc_auroc,size_B
Llama-3.2-1B,nq_open,0.0,0.5,1.0
Llama-3.2-1B,nq_open,0.05,0.5067231014599436,1.0
Llama-3.2-1B,nq_open,0.1,0.49522757943810575,1.0
Llama-3.2-1B,nq_open,0.15000000000000002,0.504355293828978,1.0
Llama-3.2-1B,nq_open,0.2,0.5348055453318612,1.0
Llama-3.2-1B,nq_open,0.25,0.5491350754508649,1.0
Llama-3.2-1B,nq_open,0.30000000000000004,0.609986504723347,1.0
Llama-3.2-1B,nq_open,0.35000000000000003,0.6295423874371243,1.0
Llama-3.2-1B,nq_open,0.4,0.6437246963562754,1.0
Llama-3.2-1B,nq_open,0.45,0.6587903324745431,1.0
Llama-3.2-1B,nq_open,0.5,0.6513311250153355,1.0
Llama-3.2-1B,nq_open,0.55,0.6551588762115079,1.0
Llama-3.2-1B,nq_open,0.6000000000000001,0.6815114709851553,1.0
Llama-3.2-1B,nq_open,0.65,0.6990798675009202,1.0
Llama-3.2-1B,nq_open,0.7000000000000001,0.6924058397742608,1.0
Llama-3.2-1B,nq_open,0.75,0.6618819776714513,1.0
Llama-3.2-1B,nq_open,0.8,0.6513801987486197,1.0
Llama-3.2-1B,nq_open,0.8500000000000001,0.6554533186112134,1.0
Llama-3.2-1B,nq_open,0.9,0.6647773279352227,1.0
Llama-3.2-1B,nq_open,0.9500000000000001,0.666740277266593,1.0
Llama-3.2-1B,nq_open,1.0,0.6454422770212245,1.0
Llama-3.2-1B,squad,0.0,0.5,1.0
Llama-3.2-1B,squad,0.05,0.5853932584269663,1.0
Llama-3.2-1B,squad,0.1,0.5525025536261492,1.0
Llama-3.2-1B,squad,0.15000000000000002,0.5745658835546477,1.0
Llama-3.2-1B,squad,0.2,0.6422369765066394,1.0
Llama-3.2-1B,squad,0.25,0.563585291113381,1.0
Llama-3.2-1B,squad,0.30000000000000004,0.5977017364657814,1.0
Llama-3.2-1B,squad,0.35000000000000003,0.6384065372829417,1.0
Llama-3.2-1B,squad,0.4,0.6807967313585291,1.0
Llama-3.2-1B,squad,0.45,0.6982635342185904,1.0
Llama-3.2-1B,squad,0.5,0.6424923391215527,1.0
Llama-3.2-1B,squad,0.55,0.680694586312564,1.0
Llama-3.2-1B,squad,0.6000000000000001,0.6868743615934627,1.0
Llama-3.2-1B,squad,0.65,0.6952502553626149,1.0
Llama-3.2-1B,squad,0.7000000000000001,0.7170582226762002,1.0
Llama-3.2-1B,squad,0.75,0.7405515832482125,1.0
Llama-3.2-1B,squad,0.8,0.7029622063329928,1.0
Llama-3.2-1B,squad,0.8500000000000001,0.6489785495403472,1.0
Llama-3.2-1B,squad,0.9,0.6273237997957098,1.0
Llama-3.2-1B,squad,0.9500000000000001,0.6287027579162409,1.0
Llama-3.2-1B,squad,1.0,0.5858018386108274,1.0
Llama-3.2-1B,triviaqa,0.0,0.5,1.0
Llama-3.2-1B,triviaqa,0.05,0.6171741533514219,1.0
Llama-3.2-1B,triviaqa,0.1,0.6514722138478544,1.0
Llama-3.2-1B,triviaqa,0.15000000000000002,0.6443171540548688,1.0
Llama-3.2-1B,triviaqa,0.2,0.6437744950256256,1.0
Llama-3.2-1B,triviaqa,0.25,0.7045523063008743,1.0
Llama-3.2-1B,triviaqa,0.30000000000000004,0.6689377951964627,1.0
Llama-3.2-1B,triviaqa,0.35000000000000003,0.6622650989850266,1.0
Llama-3.2-1B,triviaqa,0.4,0.6756506883730278,1.0
Llama-3.2-1B,triviaqa,0.45,0.6956285800422068,1.0
Llama-3.2-1B,triviaqa,0.5,0.7041503366495829,1.0
Llama-3.2-1B,triviaqa,0.55,0.7675007536930962,1.0
Llama-3.2-1B,triviaqa,0.6000000000000001,0.7355843633805647,1.0
Llama-3.2-1B,triviaqa,0.65,0.7209124711084313,1.0
Llama-3.2-1B,triviaqa,0.7000000000000001,0.7437845442669079,1.0
Llama-3.2-1B,triviaqa,0.75,0.7322882122399759,1.0
Llama-3.2-1B,triviaqa,0.8,0.733252939403075,1.0
Llama-3.2-1B,triviaqa,0.8500000000000001,0.7170937594211637,1.0
Llama-3.2-1B,triviaqa,0.9,0.7289518641342579,1.0
Llama-3.2-1B,triviaqa,0.9500000000000001,0.7588584061903325,1.0
Llama-3.2-1B,triviaqa,1.0,0.741734499045322,1.0
Qwen2.5-1.5B,nq_open,0.0,0.5,1.5
Qwen2.5-1.5B,nq_open,0.05,0.5950394265232974,1.5
Qwen2.5-1.5B,nq_open,0.1,0.7043154121863799,1.5
Qwen2.5-1.5B,nq_open,0.15000000000000002,0.6473118279569892,1.5
Qwen2.5-1.5B,nq_open,0.2,0.6795412186379928,1.5
Qwen2.5-1.5B,nq_open,0.25,0.6963440860215052,1.5
Qwen2.5-1.5B,nq_open,0.30000000000000004,0.7388387096774194,1.5
Qwen2.5-1.5B,nq_open,0.35000000000000003,0.7360860215053764,1.5
Qwen2.5-1.5B,nq_open,0.4,0.735483870967742,1.5
Qwen2.5-1.5B,nq_open,0.45,0.7754551971326165,1.5
Qwen2.5-1.5B,nq_open,0.5,0.7822222222222223,1.5
Qwen2.5-1.5B,nq_open,0.55,0.7845161290322581,1.5
Qwen2.5-1.5B,nq_open,0.6000000000000001,0.7379498207885302,1.5
Qwen2.5-1.5B,nq_open,0.65,0.7313835125448028,1.5
Qwen2.5-1.5B,nq_open,0.7000000000000001,0.7507670250896058,1.5
Qwen2.5-1.5B,nq_open,0.75,0.7231541218637993,1.5
Qwen2.5-1.5B,nq_open,0.8,0.7601720430107527,1.5
Qwen2.5-1.5B,nq_open,0.8500000000000001,0.7496200716845878,1.5
Qwen2.5-1.5B,nq_open,0.9,0.7083870967741935,1.5
Qwen2.5-1.5B,nq_open,0.9500000000000001,0.7166164874551971,1.5
Qwen2.5-1.5B,nq_open,1.0,0.7452329749103942,1.5
Qwen2.5-1.5B,squad,0.0,0.5,1.5
Qwen2.5-1.5B,squad,0.05,0.4641611295681063,1.5
Qwen2.5-1.5B,squad,0.1,0.44215116279069766,1.5
Qwen2.5-1.5B,squad,0.15000000000000002,0.5883305647840532,1.5
Qwen2.5-1.5B,squad,0.2,0.5307308970099668,1.5
Qwen2.5-1.5B,squad,0.25,0.5311461794019934,1.5
Qwen2.5-1.5B,squad,0.30000000000000004,0.528654485049834,1.5
Qwen2.5-1.5B,squad,0.35000000000000003,0.6242940199335548,1.5
Qwen2.5-1.5B,squad,0.4,0.584593023255814,1.5
Qwen2.5-1.5B,squad,0.45,0.567109634551495,1.5
Qwen2.5-1.5B,squad,0.5,0.6677740863787376,1.5
Qwen2.5-1.5B,squad,0.55,0.5589700996677741,1.5
Qwen2.5-1.5B,squad,0.6000000000000001,0.6473006644518275,1.5
Qwen2.5-1.5B,squad,0.65,0.6063538205980066,1.5
Qwen2.5-1.5B,squad,0.7000000000000001,0.580689368770764,1.5
Qwen2.5-1.5B,squad,0.75,0.5460963455149502,1.5
Qwen2.5-1.5B,squad,0.8,0.5804401993355481,1.5
Qwen2.5-1.5B,squad,0.8500000000000001,0.6086378737541529,1.5
Qwen2.5-1.5B,squad,0.9,0.5960963455149502,1.5
Qwen2.5-1.5B,squad,0.9500000000000001,0.607641196013289,1.5
Qwen2.5-1.5B,squad,1.0,0.6306063122923589,1.5
Qwen2.5-1.5B,triviaqa,0.0,0.5,1.5
Qwen2.5-1.5B,triviaqa,0.05,0.6686392914653784,1.5
Qwen2.5-1.5B,triviaqa,0.1,0.6588768115942029,1.5
Qwen2.5-1.5B,triviaqa,0.15000000000000002,0.6368961352657005,1.5
Qwen2.5-1.5B,triviaqa,0.2,0.6210547504025764,1.5
Qwen2.5-1.5B,triviaqa,0.25,0.6314412238325282,1.5
Qwen2.5-1.5B,triviaqa,0.30000000000000004,0.6646537842190016,1.5
Qwen2.5-1.5B,triviaqa,0.35000000000000003,0.6748792270531401,1.5
Qwen2.5-1.5B,triviaqa,0.4,0.6881441223832527,1.5
Qwen2.5-1.5B,triviaqa,0.45,0.716988727858293,1.5
Qwen2.5-1.5B,triviaqa,0.5,0.6968599033816425,1.5
Qwen2.5-1.5B,triviaqa,0.55,0.7277576489533013,1.5
Qwen2.5-1.5B,triviaqa,0.6000000000000001,0.7642713365539452,1.5
Qwen2.5-1.5B,triviaqa,0.65,0.8010668276972625,1.5
Qwen2.5-1.5B,triviaqa,0.7000000000000001,0.7833937198067633,1.5
Qwen2.5-1.5B,triviaqa,0.75,0.7906602254428341,1.5
Qwen2.5-1.5B,triviaqa,0.8,0.8064412238325281,1.5
Qwen2.5-1.5B,triviaqa,0.8500000000000001,0.7922302737520128,1.5
Qwen2.5-1.5B,triviaqa,0.9,0.7715780998389693,1.5
Qwen2.5-1.5B,triviaqa,0.9500000000000001,0.7621980676328501,1.5
Qwen2.5-1.5B,triviaqa,1.0,0.7659017713365539,1.5
Qwen2.5-3B,nq_open,0.0,0.5,3.0
Qwen2.5-3B,nq_open,0.05,0.6392978056426332,3.0
Qwen2.5-3B,nq_open,0.1,0.6122382445141066,3.0
Qwen2.5-3B,nq_open,0.15000000000000002,0.5925266457680252,3.0
Qwen2.5-3B,nq_open,0.2,0.5848777429467085,3.0
Qwen2.5-3B,nq_open,0.25,0.5852037617554859,3.0
Qwen2.5-3B,nq_open,0.30000000000000004,0.5984702194357367,3.0
Qwen2.5-3B,nq_open,0.35000000000000003,0.6110846394984325,3.0
Qwen2.5-3B,nq_open,0.4,0.5895423197492163,3.0
Qwen2.5-3B,nq_open,0.45,0.6098307210031348,3.0
Qwen2.5-3B,nq_open,0.5,0.6545454545454545,3.0
Qwen2.5-3B,nq_open,0.55,0.6378683385579937,3.0
Qwen2.5-3B,nq_open,0.6000000000000001,0.6551473354231976,3.0
Qwen2.5-3B,nq_open,0.65,0.6769655172413792,3.0
Qwen2.5-3B,nq_open,0.7000000000000001,0.7163887147335423,3.0
Qwen2.5-3B,nq_open,0.75,0.7029467084639498,3.0
Qwen2.5-3B,nq_open,0.8,0.6652037617554859,3.0
Qwen2.5-3B,nq_open,0.8500000000000001,0.6724012539184954,3.0
Qwen2.5-3B,nq_open,0.9,0.6572789968652039,3.0
Qwen2.5-3B,nq_open,0.9500000000000001,0.6738056426332288,3.0
Qwen2.5-3B,nq_open,1.0,0.6580564263322884,3.0
Qwen2.5-3B,squad,0.0,0.5,3.0
Qwen2.5-3B,squad,0.05,0.5652331700235891,3.0
