model,dataset,size_B,n_layers,peak_layer,peak_rel_depth,peak_halluc_auroc,peak_se_high_auroc
Llama-3.2-1B,nq_open,1.0,17,11,0.6875,0.7000368052999633,
Llama-3.2-1B,squad,1.0,17,12,0.75,0.7405515832482125,0.6573208722741434
Llama-3.2-1B,triviaqa,1.0,17,9,0.5625,0.7833383579539744,0.6857735560650726
Qwen2.5-1.5B,nq_open,1.5,29,16,0.5714285714285714,0.7862365591397849,
Qwen2.5-1.5B,squad,1.5,29,14,0.5,0.6677740863787376,
Qwen2.5-1.5B,triviaqa,1.5,29,23,0.8214285714285714,0.8150161030595814,0.7843196457326893
Qwen2.5-3B,nq_open,3.0,37,25,0.6944444444444444,0.7218808777429468,0.7272628016158968
Qwen2.5-3B,squad,3.0,37,25,0.6944444444444444,0.7488659045545273,0.7205050505050505
Qwen2.5-3B,triviaqa,3.0,37,28,0.7777777777777778,0.8048904220779222,0.8253205128205129
Llama-3.2-3B,nq_open,3.2,29,21,0.75,0.714859437751004,0.7441152597402597
Llama-3.2-3B,squad,3.2,29,16,0.5714285714285714,0.7581201233895843,0.8275027724569008
Llama-3.2-3B,triviaqa,3.2,29,13,0.4642857142857143,0.842039800995025,0.697169716971697
Qwen2.5-7B,nq_open,7.0,29,24,0.8571428571428571,0.7130668536699393,0.8275
Qwen2.5-7B,squad,7.0,29,20,0.7142857142857143,0.7647357723577235,0.7565026010404162
Qwen2.5-7B,triviaqa,7.0,29,22,0.7857142857142857,0.8076684580405126,0.7647058823529412
