model,dataset,metric,value
Llama-3.2-1B,nq_open,cost_save_frac,0.07530000000000003
Llama-3.2-1B,nq_open,AUROC_delta,-0.0025892084349673494
Llama-3.2-1B,squad,cost_save_frac,0.07799999999999996
Llama-3.2-1B,squad,AUROC_delta,0.00855298493093759
Llama-3.2-1B,triviaqa,cost_save_frac,0.12780000000000002
Llama-3.2-1B,triviaqa,AUROC_delta,-0.005240829051347706
Qwen2.5-1.5B,nq_open,cost_save_frac,0.0686
Qwen2.5-1.5B,nq_open,AUROC_delta,-0.0023627240143369033
Qwen2.5-1.5B,squad,cost_save_frac,0.06400000000000006
Qwen2.5-1.5B,squad,AUROC_delta,-0.0061581396903384045
Qwen2.5-1.5B,triviaqa,cost_save_frac,0.17509999999999992
Qwen2.5-1.5B,triviaqa,AUROC_delta,-0.012574503277942961
Qwen2.5-3B,nq_open,cost_save_frac,0.15690000000000004
Qwen2.5-3B,nq_open,AUROC_delta,-0.0035476928761528637
Qwen2.5-3B,squad,cost_save_frac,0.15100000000000002
Qwen2.5-3B,squad,AUROC_delta,-0.0038577390673198986
Qwen2.5-3B,triviaqa,cost_save_frac,0.3164
Qwen2.5-3B,triviaqa,AUROC_delta,-0.012093956677878936
Llama-3.2-3B,nq_open,cost_save_frac,0.17049999999999998
Llama-3.2-3B,nq_open,AUROC_delta,-0.004273767949619645
Llama-3.2-3B,squad,cost_save_frac,0.1523
Llama-3.2-3B,squad,AUROC_delta,0.004392176032089412
Llama-3.2-3B,triviaqa,cost_save_frac,0.2973
Llama-3.2-3B,triviaqa,AUROC_delta,-0.02778643328410979
Qwen2.5-7B,nq_open,cost_save_frac,0.27390000000000003
Qwen2.5-7B,nq_open,AUROC_delta,-0.00894628031678335
Qwen2.5-7B,squad,cost_save_frac,0.29180000000000006
Qwen2.5-7B,squad,AUROC_delta,-0.015397432524504318
Qwen2.5-7B,triviaqa,cost_save_frac,0.4280999999999999
Qwen2.5-7B,triviaqa,AUROC_delta,-0.024571920287606686
