model,dataset,n_high,delta_high_quartile,wilcoxon_stat,wilcoxon_p
Llama-3.2-1B,nq_open,739,-0.04330175913396481,1105.0,0.0004803411999818696
Llama-3.2-1B,squad,465,-0.027956989247311825,494.0,0.0687035743228782
Llama-3.2-1B,triviaqa,354,-0.0847457627118644,504.0,0.0001389646501936866
Qwen2.5-1.5B,nq_open,617,-0.019448946515397095,322.5,0.06407750645105952
Qwen2.5-1.5B,squad,734,-0.016348773841961844,732.0,0.12133525035848211
Qwen2.5-1.5B,triviaqa,468,-0.023504273504273476,1360.0,0.21586564200583258
Qwen2.5-3B,nq_open,357,-0.01400560224089635,130.0,0.31731050786291415
Qwen2.5-3B,squad,461,-0.006507592190889366,224.0,0.590013887163346
Qwen2.5-3B,triviaqa,247,-0.012145748987854227,99.0,0.5126907602619233
Llama-3.2-3B,nq_open,448,-0.0357142857142857,522.5,0.02945638563257136
Llama-3.2-3B,squad,459,-0.04139433551198257,264.0,0.0037618231327943724
Llama-3.2-3B,triviaqa,140,-0.057142857142857106,121.5,0.11666446478102344
Qwen2.5-7B,nq_open,175,-0.01714285714285714,8.0,0.25683925795785656
Qwen2.5-7B,squad,213,0.014084507042253523,15.0,0.31731050786291415
Qwen2.5-7B,triviaqa,248,0.012096774193548376,195.0,0.5774686624272996
