model_dir,model,size_B,dataset,n,greedy_acc,sc_acc,SE_AUROC,SE_ECE,SE_Brier,SE_AURC,SEPs_halluc_AUROC,SEPs_SE_AUROC,Adaptive_AUROC,Fixed_AUROC,avg_n_adaptive,cost_save_frac,AUROC_delta,AUROC_gap_seps_minus_se
meta-llama__Llama-3.2-1B-Instruct,Llama-3.2-1B,1.0,nq_open,1000,0.284,0.25,0.6373509914234008,0.19390663740272332,0.2362539925531181,0.6171240230071026,0.7310759416022574,,0.6347617829884334,0.6373509914234008,9.247,0.07530000000000003,-0.0025892084349673494,0.09372495017885663
meta-llama__Llama-3.2-1B-Instruct,Llama-3.2-1B,1.0,squad,1000,0.111,0.096,0.5362083117988631,0.36872795932182306,0.2614052603909395,0.8710850316633326,0.7405515832482125,0.7157069641242086,0.5447612967298007,0.5362083117988631,9.22,0.07799999999999996,0.00855298493093759,0.20434327144934938
meta-llama__Llama-3.2-1B-Instruct,Llama-3.2-1B,1.0,triviaqa,1000,0.467,0.425,0.7144561710812298,0.03068336391343599,0.2064136467937917,0.3342725074613991,0.7833383579539744,0.7493176110929141,0.7092153420298821,0.7144561710812298,8.722,0.12780000000000002,-0.005240829051347706,0.06888218687274461
Qwen__Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B,1.5,nq_open,1000,0.225,0.214,0.6718078853046595,0.2509185644583263,0.2237306387917198,0.6418898633416277,0.7862365591397849,,0.6694451612903226,0.6718078853046595,9.314,0.0686,-0.0023627240143369033,0.11442867383512534
Qwen__Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B,1.5,squad,1000,0.139,0.119,0.6760584563707919,0.33861712519890436,0.23305359154360394,0.7688360374078247,0.6677740863787376,,0.6699003166804535,0.6760584563707919,9.36,0.06400000000000006,-0.0061581396903384045,-0.008284369992054286
Qwen__Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B,1.5,triviaqa,1000,0.461,0.459,0.737249425504771,0.041578171346770956,0.19931652613494516,0.32599852232723964,0.8150161030595814,0.8321256038647343,0.724674922226828,0.737249425504771,8.249,0.17509999999999992,-0.012574503277942961,0.07776667755481037
Qwen__Qwen2.5-3B-Instruct,Qwen2.5-3B,3.0,nq_open,1000,0.277,0.276,0.6992799756330174,0.2050144940239957,0.2226949726096343,0.5729490142806589,0.7218808777429468,0.7748662517742111,0.6957322827568645,0.6992799756330174,8.431,0.15690000000000004,-0.0035476928761528637,0.022600902109929488
Qwen__Qwen2.5-3B-Instruct,Qwen2.5-3B,3.0,squad,1000,0.165,0.165,0.699292324442025,0.31799801769734165,0.23233587614977105,0.7128113826957012,0.7488659045545273,0.7871717171717172,0.6954345853747051,0.699292324442025,8.49,0.15100000000000002,-0.0038577390673198986,0.049573580112502236
Qwen__Qwen2.5-3B-Instruct,Qwen2.5-3B,3.0,triviaqa,1000,0.562,0.572,0.8005533076585579,0.0721690091406829,0.18508919508800128,0.2158473988801767,0.8048904220779222,0.8327323717948718,0.788459350980679,0.8005533076585579,6.836,0.3164,-0.012093956677878936,0.004337114419364241
meta-llama__Llama-3.2-3B-Instruct,Llama-3.2-3B,3.2,nq_open,1000,0.417,0.405,0.6369209949364694,0.08831695616058437,0.24174953301505908,0.4797613019220477,0.714859437751004,0.7699878246753247,0.6326472269868497,0.6369209949364694,8.295,0.17049999999999998,-0.004273767949619645,0.07793844281453466
meta-llama__Llama-3.2-3B-Instruct,Llama-3.2-3B,3.2,squad,1000,0.167,0.15,0.5512504402958789,0.31709181316177043,0.26604382217714206,0.786787657204556,0.7668299764108147,0.8397015828208488,0.5556426163279683,0.5512504402958789,8.477,0.1523,0.004392176032089412,0.21557953611493585
meta-llama__Llama-3.2-3B-Instruct,Llama-3.2-3B,3.2,triviaqa,1000,0.669,0.643,0.7623724818121469,0.17599012469705966,0.2136005745734005,0.16326489771039712,0.842039800995025,0.7766776677667766,0.7345860485280371,0.7623724818121469,7.027,0.2973,-0.02778643328410979,0.07966731918287806
Qwen__Qwen2.5-7B-Instruct,Qwen2.5-7B,7.0,nq_open,1000,0.311,0.327,0.7509345292819175,0.18089892681193032,0.20948685013490626,0.5138179811273063,0.7130668536699393,0.8634,0.7419882489651342,0.7509345292819175,7.261,0.27390000000000003,-0.00894628031678335,-0.037867675611978235
Qwen__Qwen2.5-7B-Instruct,Qwen2.5-7B,7.0,squad,1000,0.181,0.186,0.7437381525779316,0.31147149145140735,0.2348767937297595,0.6919783854515498,0.7647357723577235,0.7715086034413765,0.7283407200534273,0.7437381525779316,7.082,0.29180000000000006,-0.015397432524504318,0.020997619779791865
Qwen__Qwen2.5-7B-Instruct,Qwen2.5-7B,7.0,triviaqa,1000,0.591,0.601,0.8217082645551239,0.08693006498795475,0.17659859728055044,0.1917598017575201,0.8076684580405126,0.7917166866746699,0.7971363442675172,0.8217082645551239,5.719,0.4280999999999999,-0.024571920287606686,-0.014039806514611342
